Unit Cell Height,Base Length ,Side Length,Structure Height,Structure Length,Material,Young's Modulus,Density,Poisson's Ratio,Boundary Conditions,Frequency #,Hexagonal Eigenfrequency (Hz),Auxetic Eigenfrequency 
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,4,5414.570374732877,11189.658539577806
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,5,7427.611698216245,12476.99794606466
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,6,8320.652882395736,13929.660876345508
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,7,10016.94553563136,15515.265013266642
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,8,10193.32507133904,16386.059051493998
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,9,12013.118299991474,17200.756005406263
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNF,10,13272.8938194555,19600.095432566315
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,1,2236.1729120703226,3163.7349479838167
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,2,4818.495920324268,7119.991676726052
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,3,7788.687879091722,8136.366431142372
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,4,7851.063739203629,8428.155356743851
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,5,8672.28295262532,12489.765844184934
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,6,8887.528414562454,12574.357722964101
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,7,10718.167770354223,13872.345439587403
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,8,11517.916188562865,14976.693576365855
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,9,13231.976812347455,15793.899910910686
13.00,16.00,8.50,72,162.80,CNTs,1.5E+12,2100,0.3,NNN,10,13991.075364310034,18645.054181249976
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,1,192.9902353520461,1003.8656963472706
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,2,697.0710246260919,2218.1640063264376
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,3,881.3295045580408,2253.5088295688925
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,4,1034.7242161733209,2376.42609704303
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,5,1119.4336703398371,2642.3071119069155
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,6,1134.5035866746136,2949.458282453778
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,7,1283.451239724813,3164.410084346408
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,8,1481.6544787700125,3330.2145374260144
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,9,1747.8855730219377,3376.798734548879
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,FNF,10,1796.753805132604,3514.11914330547
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,1,120.1902063219674,360.4149460145634
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,2,176.3520023005599,365.5941736528778
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,3,499.5162220444821,391.7914216928155
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,4,606.7475864364263,1264.4792589784695
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,5,832.5440957201766,1397.101391642168
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,6,934.1772234379414,1576.0304055287006
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,7,1129.3464292459446,1755.24062769752
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,8,1150.5143478719035,1833.2125411385496
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,9,1356.348113106349,1945.5336596582115
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNF,10,1499.9509040210005,2208.5795002033306
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,1,249.20630800758696,352.6886939950709
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,2,539.4385733076035,804.3236319625527
13.00,16.00,8.50,72,162.80,FeMnSi,"7,00E+10",7800,0.33,NNN,3,878.0367199395266,910.2322965938231
